,新設住宅着工：利用関係別戸数，床面積　,,,,,,,,,,,,,,,,,,,,,,新設住宅着工：利用関係別戸数，床面積　,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,（単位：戸，千㎡，％）,,,,【参考：修正前データ】,,,,,,,,,,,,,,,,（単位：戸，千㎡，％）,,,,
,総計,,,,,,,,,,,,,,,,,,,季節調整値,,,総計,,,,,,,,,,,,,,,,,,,季節調整値
,,,,,持家,,,,貸家,,給与住宅,,分譲住宅,,,,,,,年率,,,,,,,持家,,,,貸家,,給与住宅,,分譲住宅,,,,,,,年率
,　,,,,,,住宅金融機構,,,,,,,,マンション,,,一戸建て,,,,,　,,,,,,住宅金融機構,,,,,,,,マンション,,,一戸建て,,
,　,,床面積,,　,,,,　,,　,,　,,,,分譲に占,,,,,,　,,床面積,,　,,,,　,,　,,　,,,,分譲に占,,,
,戸数,前年比,,前年比,戸数,前年比,戸数,前年比,戸数,前年比,戸数,前年比,戸数,前年比,,前年比,める割合,,前年比,（千戸）,,,戸数,前年比,,前年比,戸数,前年比,戸数,前年比,戸数,前年比,戸数,前年比,戸数,前年比,,前年比,める割合,,前年比,（千戸）
平成　24年度,893002.0,6.1523026558224245,79413.476,4.838792230239619,316532.0,3.8415862372138463,19980.0,-18.448979591836732,320891.0,10.742954562710082,5919.0,-21.87170010559663,249660.0,4.422676359134385,124027.0,3.2766545648336347,49.67836257309941,124536.0,5.557768755456479,,,,,,,,,,,,,,,,,,,,,,,
平成　25年度,987254.0,10.55451163603216,87312.664,9.946911277375634,352841.0,11.470878141862428,,,369993.0,15.301769136560381,5272.0,-10.930900489947632,259148.0,3.8003685011615858,123818.0,-0.16851169503414098,47.77887539166808,133906.0,7.523928823793909,,,,,,,,,,,,,,,,,,,,,,,
平成　26年度,880470.0,-10.816264102247246,74006.845,-15.239277317205662,278221.0,-21.148335936016508,11012.0,-24.4874168552424,358340.0,-3.1495190449549,7867.0,49.222306525037936,236042.0,-8.916140583759088,110215.0,-10.986286323474786,46.692961422119794,124221.0,-7.232685615282364,,,,,,,,,,,,,,,,,,,,,,,
平成　27年度,920537.0,4.55063772757731,75591.787,2.1416154140877097,284441.0,2.2356328242655934,16160.0,46.74900108972031,383678.0,7.070938215102984,5832.0,-25.86754798525486,246586.0,4.467001635302182,118432.0,7.455428027038067,48.02867964929071,126235.0,1.621303966318095,,,,,,,,,,,,,,,,,,,,,,,
平成　28年度,974137.0,5.822688278689498,78704.958,4.118398470987344,291783.0,2.5812031317566664,16137.0,-0.14232673267326845,427275.0,11.36291369325319,5793.0,-0.6687242798353878,249286.0,1.0949526737122284,112354.0,-5.132058902999191,45.0703208363085,134700.0,6.705747217491194,,,,,,,,,,,,,,,,,,,,,,,
平成　29年度,946396.0,-2.847751394311075,75829.194,-3.6538536746312644,282111.0,-3.314792157185309,15093.0,-6.469604015616284,410355.0,-3.959978936282255,5435.0,-6.179872259623693,248495.0,-0.3173062265831277,108278.0,-3.627819214269195,43.57351254552405,137849.0,2.337787676317731,,,,,,,,,,,,,,,,,,,,,,,
30.0,952936.0,0.6910426502225278,76572.538,0.9802873547620834,287710.0,1.9846797891610208,14039.0,-6.983369774067455,390093.0,-4.937675914756738,7958.0,46.421343146274154,267175.0,7.517253868287099,119683.0,10.533072276916826,44.79573313371385,144905.0,5.118644313705573,,,,,,,,,,,,,,,,,,,,,,,
令和 元 年度,883687.0,-7.266909844942376,73106.559,-4.526399529815777,283338.0,-1.5195856939279224,14441.0,2.8634518128071846,334509.0,-14.248909875337418,6108.0,-23.24704699673285,259732.0,-2.785814541031158,111615.0,-6.741141181287233,42.973141545901164,146154.0,0.8619440322970178,,,,,,,,,,,,,,,,,,,,,,,
2.0,812164.0,-8.093702860854577,66299.473,-9.311183692833907,263097.0,-7.143764690934503,13193.0,-8.642060799113636,303018.0,-9.41409648170901,6908.0,13.09757694826456,239141.0,-7.927787103629896,108188.0,-3.070375845540468,45.240255748700555,129351.0,-11.496777371813295,,,,,,,,,,,,,,,,,,,,,,,
3.0,865909.0,6.617505823946885,71160.912,7.33254546382291,281279.0,6.9107591496672285,11868.0,-10.043204729780939,330752.0,9.15259159521878,5494.0,-20.46902142443544,248384.0,3.865083779025767,102762.0,-5.015343661034493,41.372230095336256,144124.0,11.420862614127444,,,,,,,,,,,,,,,,,,,,,,,
4.0,860828.0,-0.5867822138354057,68651.053,-3.5270191590574314,248132.0,-11.784384898979312,9457.0,-20.315133131108865,347427.0,5.041541698916419,5720.0,4.113578449217343,259549.0,4.495056042257147,113900.0,10.838636850197545,43.883813846325744,144321.0,0.1366878521273236,,,,,,,,,,,,,,,,,,,,,,,
5.0,800226.0,-7.039966172104059,62199.236,-9.397986947119378,219633.0,-11.485419051150188,6926.0,-26.763244157766735,340431.0,-2.013660423628565,5118.0,-10.524475524475534,235044.0,-9.441377158070338,100241.0,-11.992098331870054,42.647759568421236,133618.0,-7.416107150033596,,,,,,,,,,,,,,,,,,,,,,,
6.0,816388.0,2.0196794405580425,62856.069,1.0560145786999795,223167.0,1.6090478206826841,,,357074.0,4.8888027236062515,6606.0,29.073856975381005,229541.0,-2.3412637633804736,105227.0,4.974012629562754,45.84235496055171,122420.0,-8.38060740319418,,,,,,,,,,,,,,,,,,,,,,,
 6．1 -  6．6,391118.0,-4.5003162014801745,30009.405,-7.194719698529312,102058.0,-7.43374390044805,2817.0,-30.22046073817191,167880.0,-0.5509152301403901,3098.0,24.019215372297836,118082.0,-7.739067249017481,56923.0,-2.650796093923688,48.20633119357735,60385.0,-12.414423300069615,,,,,,,,,,,,,,,,,,,,,,,
 7．1 -  7．6,361900.0,-7.4703797830833665,27670.617,-7.7935167325043615,94337.0,-7.565306002469184,,,160958.0,-4.123183226113891,3674.0,18.592640413169786,102931.0,-12.830914110533358,46712.0,-17.93826748414525,45.38185774936608,55089.0,-8.77038999751594,,,,,,,,,,,,,,,,,,,,,,,
 6．4 -  6．6,208792.0,0.4648119099631458,16143.529,-2.110411689754926,54298.0,-6.0181739506707,1447.0,-28.999018645731113,90025.0,2.8951218397110523,1945.0,40.4332129963899,62524.0,2.2068198908032883,31443.0,24.011043186748182,50.289488836286864,30692.0,-13.745327825085013,,,,,,,,,,,,,,,,,,,,,,,
 7．4 -  7．6,155381.0,-25.580960956358485,11826.856,-26.73933933528413,41585.0,-23.413385391727136,,,68121.0,-24.331019161344074,2528.0,29.974293059125962,43147.0,-30.991299341053036,18432.0,-41.379639347390516,42.71907664495793,24173.0,-21.240062557018117,,,,,,,,,,,,,,,,,,,,,,,
S４０年 １月,54772.0,,,,17614.0,,,,29043.0,,4539.0,,3576.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,62092.0,,,,22202.0,,,,30213.0,,5055.0,,4622.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,61206.0,,,,26266.0,,,,28155.0,,4400.0,,2385.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,72861.0,,,,31984.0,,,,32366.0,,4772.0,,3739.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,64390.0,,,,30212.0,,,,27534.0,,4089.0,,2555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,73223.0,,,,33970.0,,,,31680.0,,4694.0,,2879.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,74464.0,,,,40663.0,,,,27926.0,,3215.0,,2660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
