実質年度,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2015暦年連鎖価格、10億円),,,
"Real, Fiscal Year",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2015) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
Fiscal Year,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
2015/4-3.,"539,413.5 ","299,998.3 ","292,954.7 ","243,564.3 ","20,415.4 ","87,090.0 ","1,410.4 ","106,261.5 ","27,081.0 ",-60.0 ,"-2,882.8 ","93,616.7 ","96,499.5 ",99.5 ,,"1,862.9 ","541,276.4 ","21,218.0 ","30,244.8 ","9,026.8 ","562,494.4 ",,"542,276.0 ","409,004.4 ","133,273.4 ",,"134,590.2 ",,"537,952.7 ",,,
2016/4-3.,"543,479.1 ","299,129.9 ","291,676.3 ","242,195.9 ","21,295.2 ","87,792.1 ",328.2 ,"107,187.5 ","27,218.6 ",-281.0 ,777.6 ,"96,831.6 ","96,053.9 ",31.0 ,,"4,142.8 ","547,621.8 ","19,296.6 ","29,344.2 ","10,047.6 ","566,918.5 ",,"542,747.6 ","408,623.1 ","134,122.9 ",,"136,302.9 ",,"543,320.2 ",,,
2017/4-3.,"553,173.5 ","302,186.4 ","294,726.6 ","245,151.6 ","20,911.7 ","90,285.5 ","1,861.7 ","107,494.2 ","27,395.0 ",79.1 ,"3,276.8 ","102,964.9 ","99,688.2 ",-317.0 ,,967.4 ,"554,141.0 ","20,320.6 ","31,281.4 ","10,960.7 ","574,461.6 ",,"550,070.9 ","415,123.0 ","134,954.3 ",,"138,580.8 ",,"551,401.9 ",,,
2018/4-3.,"554,532.0 ","302,357.6 ","295,590.8 ","245,924.7 ","19,902.9 ","91,686.7 ","2,224.2 ","108,679.3 ","27,627.9 ",-70.6 ,"2,300.7 ","104,999.5 ","102,698.8 ",-176.7 ,,"-3,044.8 ","551,487.3 ","21,575.5 ","33,581.3 ","12,005.8 ","573,062.7 ",,"552,333.0 ","416,116.1 ","136,216.5 ",,"139,190.1 ",,"552,458.8 ",,,
2019/4-3.,"550,117.2 ","299,619.5 ","292,217.6 ","242,486.9 ","20,422.4 ","90,474.0 ",902.9 ,"110,974.0 ","28,082.1 ",-8.4 ,-353.7 ,"102,590.0 ","102,943.7 ",4.5 ,,"-1,831.6 ","548,285.6 ","21,632.6 ","33,879.1 ","12,246.5 ","569,918.2 ",,"550,470.1 ","411,441.7 ","139,028.4 ",,"138,973.2 ",,"549,216.1 ",,,
2020/4-3.,"528,629.5 ","285,255.1 ","276,705.3 ","227,004.3 ","18,907.5 ","85,361.3 ",-370.2 ,"114,014.9 ","29,447.4 ",-94.3 ,"-4,123.2 ","92,347.6 ","96,470.7 ",230.9 ,,"3,582.1 ","532,211.5 ","19,599.5 ","29,906.6 ","10,307.1 ","551,811.0 ",,"532,511.8 ","389,163.7 ","143,348.3 ",,"133,749.4 ",,"529,109.1 ",,,
2021/4-3.,"544,718.0 ","290,303.8 ","282,381.1 ","232,558.9 ","18,965.7 ","88,127.6 ","2,188.5 ","117,663.4 ","27,568.2 ",12.2 ,385.1 ,"103,894.6 ","103,509.5 ",-496.6 ,,"-6,706.2 ","538,011.8 ","28,179.0 ","40,141.2 ","11,962.2 ","566,190.7 ",,"544,434.1 ","399,310.1 ","145,125.5 ",,"134,606.2 ",,"542,823.4 ",,,
2022/4-3.,"551,982.9 ","297,896.8 ","290,372.4 ","240,387.7 ","18,473.8 ","91,273.6 ","2,321.9 ","118,953.6 ","26,056.9 ",22.2 ,"-2,176.3 ","109,038.1 ","111,214.5 ",-839.5 ,,"-16,441.5 ","535,541.4 ","32,758.0 ","48,335.4 ","15,577.4 ","568,299.4 ",,"554,470.8 ","409,606.5 ","144,841.8 ",,"135,619.4 ",,"549,983.5 ",,,
2023/4-3.,"555,439.9 ","296,787.0 ","288,873.8 ","238,838.8 ","18,629.0 ","91,194.9 ",591.6 ,"118,028.9 ","25,968.3 ",26.4 ,"4,229.4 ","112,389.0 ","108,159.6 ",-15.4 ,,"-9,168.5 ","546,271.4 ","33,370.1 ","54,366.5 ","20,996.4 ","579,641.4 ",,"550,716.4 ","406,851.4 ","143,833.3 ",,"135,655.8 ",,"555,184.9 ",,,
2024/4-3.,"559,870.3 ","299,167.1 ","291,167.1 ","241,034.3 ","18,442.5 ","93,369.0 ","1,129.9 ","119,550.6 ","26,306.3 ",4.8 ,"2,384.6 ","114,305.6 ","111,921.0 ",-484.5 ,,"-7,180.6 ","552,689.7 ","36,629.1 ","59,891.0 ","23,261.9 ","589,318.8 ",,"557,456.5 ","411,780.4 ","145,638.7 ",,"137,915.8 ",,"559,087.7 ",,,
＊開差＝国内総生産(支出側)−国内総生産(支出側)の内訳項目計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
＊財貨・サービスの純輸出は連鎖方式での計算ができないため、財貨・サービスの輸出−財貨・サービスの輸入により求めている。このため寄与度とは符号が一致しない場合がある。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
