名目季節調整系列,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,(単位:10億円),,,,,,
"Nominal, Seasonally Adjusted Series",,,,,,,,,,,,,,,<cf>,,,,,,,,,,,(Billion Yen),,,,,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,純受取,受取,支払,,,,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,Net,Receipt,Payment,,,,,,,,,,,,,,,
10-12.,"527,842.9 ","286,603.4 ","280,366.7 ","238,146.0 ","24,526.2 ","83,358.3 ","-3,530.5 ","85,918.0 ","43,678.7 ",-337.2 ,"7,626.0 ","52,769.6 ","45,143.6 ",,"7,072.6 ","10,815.6 ","3,743.0 ","534,915.5 ",,"520,216.9 ","390,957.4 ","129,259.5 ",,"151,563.2 ",,"531,710.6 ",,,,,,
2000/ 1- 3.,"535,160.4 ","287,791.0 ","281,828.1 ","239,381.7 ","24,882.6 ","86,691.9 ","-1,584.3 ","87,357.6 ","41,479.4 ",152.0 ,"8,390.2 ","54,638.6 ","46,248.4 ",,"6,766.7 ","11,220.5 ","4,453.8 ","541,927.1 ",,"526,770.1 ","397,781.2 ","128,989.0 ",,"153,053.8 ",,"536,592.6 ",,,,,,
4- 6.,"535,345.7 ","286,351.5 ","280,747.0 ","238,066.7 ","25,384.2 ","84,798.8 ","1,187.0 ","88,273.7 ","41,061.0 ",39.3 ,"8,250.2 ","55,494.1 ","47,244.0 ",,"8,178.2 ","12,027.0 ","3,848.8 ","543,523.8 ",,"527,095.5 ","397,721.5 ","129,374.0 ",,"151,244.0 ",,"534,119.4 ",,,,,,
7- 9.,"534,450.4 ","286,343.6 ","280,995.6 ","238,124.2 ","24,993.2 ","87,439.4 ","-1,142.1 ","89,286.3 ","40,310.0 ",-35.2 ,"7,255.2 ","56,544.4 ","49,289.2 ",,"8,126.4 ","12,105.6 ","3,979.2 ","542,576.7 ",,"527,195.2 ","397,634.1 ","129,561.1 ",,"152,742.6 ",,"535,627.7 ",,,,,,
10-12.,"537,817.7 ","288,792.2 ","283,488.5 ","240,376.8 ","25,376.4 ","89,570.0 ",136.9 ,"89,542.7 ","38,835.9 ",-68.4 ,"5,632.0 ","57,597.1 ","51,965.1 ",,"8,081.7 ","12,471.1 ","4,389.3 ","545,899.4 ",,"532,185.6 ","403,875.4 ","128,310.2 ",,"153,782.2 ",,"537,749.1 ",,,,,,
2001/ 1- 3.,"542,585.6 ","290,567.6 ","285,108.3 ","241,877.1 ","25,325.3 ","89,305.8 ","2,011.7 ","91,120.6 ","40,559.6 ",24.4 ,"3,670.5 ","56,140.4 ","52,469.8 ",,"8,386.0 ","12,851.5 ","4,465.5 ","550,971.6 ",,"538,915.1 ","407,210.5 ","131,704.6 ",,"155,190.8 ",,"540,549.5 ",,,,,,
4- 6.,"534,229.7 ","290,641.7 ","284,975.1 ","241,417.9 ","23,880.4 ","86,292.0 ","2,209.1 ","91,173.3 ","38,104.1 ",-174.5 ,"2,103.5 ","53,952.3 ","51,848.8 ",,"8,151.3 ","12,379.0 ","4,227.7 ","542,381.0 ",,"532,126.1 ","403,023.2 ","129,102.9 ",,"148,276.5 ",,"532,195.1 ",,,,,,
7- 9.,"527,046.8 ","289,489.7 ","283,704.1 ","239,946.5 ","23,568.3 ","84,252.2 ","-2,075.4 ","91,675.4 ","37,782.4 ",-211.0 ,"2,565.1 ","52,388.7 ","49,823.5 ",,"8,026.8 ","12,023.7 ","3,996.9 ","535,073.6 ",,"524,481.6 ","395,234.9 ","129,246.8 ",,"145,602.9 ",,"529,333.2 ",,,,,,
10-12.,"523,899.1 ","287,343.4 ","281,559.8 ","237,606.0 ","23,601.7 ","80,422.9 ","-1,021.9 ","92,347.0 ","36,748.0 ",-30.7 ,"4,488.6 ","51,978.8 ","47,490.3 ",,"8,479.1 ","11,973.4 ","3,494.3 ","532,378.2 ",,"519,410.5 ","390,346.1 ","129,064.4 ",,"140,772.6 ",,"524,951.6 ",,,,,,
2002/ 1- 3.,"525,491.7 ","288,370.9 ","282,716.6 ","238,630.1 ","23,313.6 ","79,517.7 ","-3,251.5 ","94,541.0 ","37,082.5 ",-91.3 ,"6,008.9 ","54,787.4 ","48,778.5 ",,"8,284.8 ","11,461.4 ","3,176.7 ","533,776.4 ",,"519,482.8 ","387,950.7 ","131,532.1 ",,"139,913.7 ",,"528,834.5 ",,,,,,
4- 6.,"524,213.1 ","289,692.3 ","284,238.3 ","240,127.3 ","23,274.3 ","77,841.0 ","-2,511.2 ","92,491.1 ","35,923.9 ",-25.9 ,"7,527.6 ","57,277.3 ","49,749.7 ",,"7,454.2 ","10,780.2 ","3,326.0 ","531,667.3 ",,"516,685.4 ","388,296.3 ","128,389.1 ",,"137,039.2 ",,"526,750.2 ",,,,,,
7- 9.,"524,208.5 ","289,352.8 ","284,043.5 ","239,795.5 ","23,236.8 ","78,635.4 ","-1,504.3 ","93,021.2 ","35,675.2 ",-50.0 ,"5,841.3 ","55,945.3 ","50,103.9 ",,"7,593.8 ","11,061.1 ","3,467.4 ","531,802.3 ",,"518,367.1 ","389,720.7 ","128,646.4 ",,"137,547.4 ",,"525,762.8 ",,,,,,
