実質季節調整系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2015暦年連鎖価格、10億円),,,
"Real, Seasonally Adjusted Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2015) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
10-12.,"479,886.2 ","272,910.8 ","267,739.6 ","226,210.9 ","25,452.9 ","74,594.7 ","-1,152.5 ","88,175.2 ","39,542.0 ",-24.6 ,"-13,943.8 ","47,152.3 ","61,096.0 ","-5,668.6 ",,"18,828.5 ","498,714.7 ","8,156.3 ","11,501.6 ","3,345.3 ","506,871.0 ",,"498,072.8 ","371,798.6 ","126,393.4 ",,"138,082.8 ",,"480,390.4 ",,,
2002/ 1- 3.,"480,740.0 ","274,458.6 ","269,376.6 ","227,612.5 ","25,206.9 ","73,956.7 ","-3,463.5 ","88,206.5 ","40,034.0 ",-81.5 ,"-12,302.9 ","49,304.0 ","61,606.9 ","-5,274.8 ",,"18,738.0 ","499,477.9 ","7,957.3 ","10,999.5 ","3,042.2 ","507,435.2 ",,"497,094.1 ","370,386.7 ","126,836.4 ",,"137,637.2 ",,"483,313.9 ",,,
4- 6.,"484,572.9 ","276,724.3 ","271,795.0 ","229,805.8 ","25,278.7 ","72,927.1 ","-2,473.2 ","88,525.5 ","38,942.9 ",-24.4 ,"-10,539.5 ","52,912.7 ","63,452.3 ","-4,788.7 ",,"18,723.9 ","503,296.8 ","7,188.6 ","10,396.6 ","3,208.0 ","510,485.3 ",,"498,710.9 ","372,576.5 ","126,226.1 ",,"135,622.7 ",,"486,224.5 ",,,
7- 9.,"486,180.1 ","276,971.0 ","272,145.0 ","229,944.1 ","25,217.3 ","74,123.9 ","-1,497.0 ","89,209.7 ","38,797.9 ",-65.6 ,"-12,267.6 ","53,285.7 ","65,553.3 ","-4,309.4 ",,"18,813.4 ","504,993.5 ","7,363.3 ","10,717.9 ","3,354.6 ","512,356.8 ",,"501,577.1 ","374,895.7 ","126,765.7 ",,"136,704.0 ",,"487,005.7 ",,,
10-12.,"487,495.6 ","276,317.9 ","271,461.9 ","229,046.8 ","24,894.3 ","74,180.2 ",475.7 ,"89,070.7 ","38,216.7 ",-171.5 ,"-11,396.3 ","55,128.0 ","66,524.3 ","-4,092.0 ",,"19,161.1 ","506,656.7 ","7,020.4 ","10,286.1 ","3,265.7 ","513,677.1 ",,"501,755.6 ","375,812.1 ","126,005.4 ",,"135,941.8 ",,"486,674.7 ",,,
2003/ 1- 3.,"487,801.2 ","277,442.0 ","272,427.1 ","229,785.3 ","24,752.2 ","74,469.2 ",-463.7 ,"89,547.5 ","36,975.3 ",-72.2 ,"-11,124.3 ","55,867.2 ","66,991.5 ","-3,724.9 ",,"17,505.3 ","505,306.5 ","7,620.8 ","10,720.1 ","3,099.3 ","512,927.3 ",,"501,657.0 ","376,251.3 ","125,463.7 ",,"134,982.2 ",,"487,723.0 ",,,
4- 6.,"491,099.5 ","276,931.3 ","271,723.1 ","228,858.3 ","24,892.1 ","75,611.8 ",-667.9 ,"90,342.7 ","37,119.7 ",74.6 ,"-8,781.7 ","55,988.0 ","64,769.7 ","-4,423.0 ",,"18,138.3 ","509,237.8 ","7,823.9 ","10,714.4 ","2,890.5 ","517,061.7 ",,"503,304.4 ","376,839.9 ","126,540.6 ",,"136,445.1 ",,"491,078.9 ",,,
7- 9.,"492,628.4 ","276,845.1 ","271,498.6 ","228,370.6 ","25,390.3 ","74,433.4 ","1,838.0 ","90,678.8 ","36,093.6 ",-98.3 ,"-8,352.7 ","57,996.1 ","66,348.8 ","-4,199.9 ",,"18,251.0 ","510,879.4 ","9,338.5 ","12,135.0 ","2,796.4 ","520,217.9 ",,"504,009.0 ","378,263.1 ","125,805.9 ",,"134,714.3 ",,"490,561.8 ",,,
10-12.,"497,982.9 ","280,622.4 ","275,224.6 ","231,983.6 ","25,071.3 ","77,427.0 ",-713.3 ,"91,066.5 ","35,258.6 ",-393.6 ,"-6,903.3 ","60,963.2 ","67,866.5 ","-3,452.8 ",,"18,603.7 ","516,586.6 ","8,367.5 ","11,039.5 ","2,671.9 ","524,954.2 ",,"507,667.4 ","382,509.8 ","125,187.5 ",,"136,813.1 ",,"498,388.7 ",,,
2004/ 1- 3.,"501,757.7 ","280,607.0 ","275,244.4 ","231,741.4 ","25,345.4 ","77,359.4 ","2,895.2 ","91,484.6 ","33,607.2 ",-341.2 ,"-5,958.5 ","63,969.1 ","69,927.6 ","-3,241.4 ",,"17,885.0 ","519,642.7 ","9,358.8 ","12,021.5 ","2,662.8 ","529,001.5 ",,"510,124.0 ","385,965.5 ","124,152.5 ",,"135,462.0 ",,"498,935.0 ",,,
